,name,lat,lon,geometry,travel_bus
199,부산고등어축제,35.0769252,129.0180734,POINT (129.0180734 35.0769252),송도교차로
200,부산공간화랑,35.1577232,129.1500962,POINT (129.1500962 35.1577232),동백섬
201,부산과학기술대학교 민속자료실,35.1947185,129.0041425,POINT (129.0041425 35.1947185),부산과학기술대학교
202,부산광안대교,35.1771641,129.1205683,POINT (129.1205683 35.1771641),센텀파크.부산은행
203,부산광역시 영도도서관,35.0753352,129.0660111,POINT (129.0660111 35.0753352),절영아파트
204,부산광역시립 부전도서관,35.1558256,129.0620476,POINT (129.0620476 35.1558256),부전도서관
205,부산광역시립 사하도서관,35.103086,128.991053,POINT (128.991053 35.103086),자유3차아파트
206,부산광역시립 중앙도서관,35.1099927,129.0270921,POINT (129.0270921 35.1099927),증앙도서관
207,부산국제록페스티벌,35.1770248,128.9776229,POINT (128.9776229 35.1770248),사상중앙병원
208,부산국제영화제,35.1711778,129.1271956,POINT (129.1271956 35.1711778),영화의전당
209,부산근대역사관,35.1026721,129.031176,POINT (129.031176 35.1026721),국제시장.부산근대역사관
210,부산남항,35.0920883,129.0373586,POINT (129.0373586 35.0920883),깡깡이예술마을
211,부산다이아몬드타워,35.1007009,129.0323127,POINT (129.0323127 35.1007009),국제시장.부산근대역사관
212,부산동명불원,35.1201235,129.1040898,POINT (129.1040898 35.1201235),동명불원
213,부산라벤더팜,35.2603167,129.1489009,POINT (129.1489009 35.2603167),대곡마을
214,부산롯데월드,35.2445494,129.2221542,POINT (129.2221542 35.2445494),기장군청
215,부산명물횟집,35.0971327,129.0312082,POINT (129.0312082 35.0971327),자갈치시장
216,부산민주공원,35.1100718,129.0280727,POINT (129.0280727 35.1100718),증앙도서관
217,부산바다축제,35.1896429,129.0569842,POINT (129.0569842 35.1896429),국가기록원.역사기록관
218,부산박물관,35.1295178,129.094151,POINT (129.094151 35.1295178),부산문화회관(박물관)
219,부산불꽃축제,35.1526648,129.118203,POINT (129.118203 35.1526648),광안리해수욕장
220,부산비엔날레,35.1092764,128.9427503,POINT (128.9427503 35.1092764),부산현대미술관
221,부산세관박물관,35.1045621,129.0385872,POINT (129.0385872 35.1045621),연안여객터미널
222,부산시립미술관,35.1650508,129.1347629,POINT (129.1347629 35.1650508),시립미술관(벡스코)
223,부산시민공원,35.1660271,129.057532,POINT (129.057532 35.1660271),부산시민공원남문
