,parking_nm,addr,Latitude,Longitude
224,초4-1(주거지),부산광역시 동구 초량로80번길 5,35.1213285,129.0338992
225,초4-2(주거지),부산광역시 동구 초량남로 32,35.1193668,129.0328739
226,초4-3(주거지),부산광역시 동구 초량남로 10-1,35.1195086,129.0350589
227,초6-4(주거지),부산광역시 동구 구봉로49번길 14,35.1239567999999,129.036446
228,초6-5(주거지),부산광역시 동구 망양로533번길 8,35.1194614,129.0296991
229,초6-7(주거지),부산광역시 동구 망양로610번길 1,35.1246258,129.0348449
230,초량1동업무지,부산광역시 동구 대영로239번길 11,35.1127667,129.0368922
231,초량3동-업무지2구간,부산광역시 동구 중앙대로 243,35.1187017,129.0412854
232,초량3동-업무지3구간,부산광역시 동구 고관로13번길 3,35.1207927,129.0417289
233,초량3동-업무지4구간,부산광역시 동구 홍곡로 26-1,35.1223635,129.0393594
234,초량3동-업무지5구간,부산광역시 동구 중앙대로 281,35.1218416,129.0428152
235,초량3동-업무지6구간,부산광역시 동구 중앙대로260번길 11,35.1202082,129.0433309
236,초량3동-업무지7구간,부산광역시 동구 중앙대로308번길 5,35.1238153,129.0452672
237,초량3동-업무지8구간,부산광역시 동구 중앙대로 264,35.1201731,129.0428214
238,제1지하도옆,부산광역시 동구 중앙대로248번길 7-6 (초량동),35.1189875,129.0434755
239,제7기동대앞고가도로밑,부산광역시 동구 성남로 35-1 (좌천동),35.1296762,129.054213
240,조선생명뒤,부산광역시 동구 중앙대로332번길 7-12 (초량동),35.1261676,129.0470823
241,좌천1동공영,부산광역시 동구 증산로65번길 7(좌천동),35.1332819,129.050565
242,좌천4동공영,부산광역시 동구 증산로8번길 9 (좌천동),35.1347367,129.0465019
243,진로창고옆,부산광역시 동구 중앙대로260번길 3-2 (초량동),35.1199069,129.04327
244,차이나타운,부산광역시 동구 중앙대로195번길 23 (초량동),35.1152538,129.0379319
245,초량2동공영,부산광역시 동구 영초길247번가길 9-6 (초량동,35.1186857,129.0336793
246,초량6동공영,부산광역시 동구 고관로141번길 18-4 (좌천동),35.131352,129.0485839
247,초량6동제2공영주차장,부산광역시 동구 초량북로 28 (초량동),35.1219269,129.0359724
248,한양삼익아파트옆,부산광역시 동구 조방로 48 (범일동),35.1409213,129.0610957
249,한양아파트3호동뒤,부산광역시 동구 조방로 48 (범일동),35.1409213,129.0610957
250,한양아파트3호동앞,부산광역시 동구 조방로 48 (범일동),35.1409213,129.0610957
251,행복예식장옆,부산광역시 동구 조방로 48 (범일동),35.1409213,129.0610957
252,화신칼라앞 공영주차장,부산광역시 동구 범일로102번길 4 (범일동,35.1388474,129.0599473
253,흥국생명앞,부산광역시 동구 중앙대로 243,35.1187017,129.0412854
254,범일2동 제1노상공영주차장,부산광역시 동구 자성로133번길 10,35.137973,129.0650944
255,범일2동 제2노상공영주차장,부산광역시 동구 자성로133번길 10,35.137973,129.0650944
256,범1-1(주거지),부산광역시 동구 증산북로 19-1,35.1387129,129.0522149
257,범1-2(주거지),부산광역시 동구 증산로147번길 12,35.139211,129.0525637
258,범1-3(주거지),부산광역시 동구 증산로146번길 3,35.1392016,129.0534348
259,범1-4(주거지),부산광역시 동구 성남삼로 19,35.1322663,129.0581953
260,범1-6(주거지),부산광역시 동구 범곡로 9,35.1388183,129.0557453
261,범2-1(주거지),부산광역시 동구 성남이로60번길 30,35.134741,129.0574252
262,범4-1(주거지),부산광역시 동구 증산서로 42,35.1380585,129.0499263
263,범4-2(주거지),부산광역시 동구 증산서로 42,35.1380585,129.0499263
264,범4-3(주거지),부산광역시 동구 성북로36번길 54,35.1379169,129.0514958
265,범4-4(주거지),부산광역시 동구 성북로36번길 54,35.1379169,129.0514958
266,범4-5(주거지),부산광역시 동구 성북로36번길 54,35.1379169,129.0514958
267,범4-6(주거지),부산광역시 동구 성북로36번길 54,35.1379169,129.0514958
268,범4-7(주거지),부산광역시 동구 성북로36번길 54,35.1379169,129.0514958
269,범5-2(주거지),부산광역시 동구 성남이로38번길 7-1,35.1330801,129.0572852
270,범5-4(주거지),부산광역시 동구 성남이로38번길 7-1,35.1330801,129.0572852
271,범5-6(주거지),부산광역시 동구 성남이로38번길 7-1,35.1330801,129.0572852
272,범6-1(주거지),부산광역시 동구 성북로36번길 54,35.1379169,129.0514958
273,범6-2(주거지),부산광역시 동구 성북로36번길 54,35.1379169,129.0514958
274,범6-3(주거지),부산광역시 동구 성북로36번길 54,35.1379169,129.0514958
275,범일2동-업무지-2구간,부산광역시 동구 자성로141번길 13,35.138423,129.0655831
276,범일2동-업무지-3구간,부산광역시 동구 자성로87번길 4,35.1350143,129.0612253
277,범일2동-업무지-5구간,부산광역시 동구 자성로 99,35.1360296,129.0613943
278,범1-5(주거지),부산광역시 동구 범곡로 9,35.1388183,129.0557453
279,범일5동-업무지-1구간,부산광역시 동구 성남로 74-9,35.1301516,129.0575842
280,범일5동-업무지-3구간,부산광역시 동구 성남이로38번길 7-1,35.1330801,129.0572852
281,수1-1(주거지),부산광역시 동구 홍곡남로 50,35.1257718,129.0367103
282,수1-3(주거지),부산광역시 동구 홍곡중로23번길 1,35.1258598,129.0412734
283,수3-1(주거지),부산광역시 동구 수정중로 29,35.1321649,129.0443271
284,수3-2(주거지),부산광역시 동구 수성남로 27-1,35.1327225,129.0417492
285,수3-3(주거지),부산광역시 동구 수정중로 29,35.1321649,129.0443271
286,수3-4(주거지),부산광역시 동구 수정로17번길 33,35.128557,129.0437533
287,수3-5(주거지),부산광역시 동구 수정서로 8,35.1303363,129.0424023
288,수3-6(주거지),부산광역시 동구 수정공원남로 77,35.1289948,129.0416962
289,수3-7(주거지),부산광역시 동구 수정로 56,35.1300519,129.0418271
290,수3-8(주거지),부산광역시 동구 수정북로17번길 7-7,35.1314878,129.0427758
291,수4-1(주거지),부산광역시 동구 수정공원남로 40,35.1273935,129.0389044
292,수4-2(주거지),부산광역시 동구 수정공원상로14번길 3,35.1283974,129.0397795
293,수4-3(주거지),부산광역시 동구 수정공원상로14번길 3,35.1283974,129.0397795
294,수4-4(주거지),부산광역시 동구 수정공원상로 60-3,35.1278658,129.0370122
295,수4-5(주거지),부산광역시 동구 수정외솔로 3,35.1258401,129.0427236
296,수5-1(주거지),부산광역시 동구 망양로 533-5,35.1198181,129.0295116
297,수5-10(주거지),부산광역시 동구 수정공원북로 14,35.1374107,129.0464538
298,수5-2(주거지),부산광역시 동구 망양로795번길 21,35.1340893,129.0414045
299,수5-3(주거지),부산광역시 동구 망양로 533-5,35.1198181,129.0295116
300,수5-4(주거지),부산광역시 동구 수정공원로 95-1,35.1335924,129.0405917
