b_nm,b_long,b_lat
동삼초등학교,129.073601,35.078577
국제크루즈터미널입구,129.0773159,35.0802089
국제크루즈터미널입구,129.0766257,35.08183819
미창석유,129.0758456,35.08579202
미창석유,129.0751867,35.08579667
송강중공업,129.0721671,35.0886804
(주)국보,129.0710528,35.08966599
(주)거청,129.067906,35.09421993
(주)거청,129.0676722,35.09393843
대선조선,129.063855,35.096235
대선조선,129.0614874,35.09703372
청학수변공원,129.0600506,35.0980791
청학수변공원,129.059842,35.09784016
부산조선,129.0581312,35.09948504
부산조선,129.05804,35.09909747
국립해양박물관,129.0790178,35.07808618
영선2동행정복지센터,129.0420271,35.08705756
영선2동행정복지센터,129.041888,35.087282
청산학원,129.0580231,35.09011687
삼신아파트,129.0545764,35.09225254
국제크루즈터미널입구,129.076026,35.081546
태종대.태종대온천,129.080885,35.06368167
동삼삼거리,129.0738071,35.0845467
동삼삼거리,129.0738137,35.08437538
HJ중공업,129.0529263,35.09564187
동삼혁신지구입구.동삼교회,129.074425,35.073838
동삼혁신지구입구,129.073675,35.07532098
한국해양대.부산해사고,129.0774196,35.07244974
한국해양대.부산해사고,129.0774058,35.07212105
한국해양수산연수원,129.0753063,35.07643306
한국해양수산연수원,129.0749454,35.07646627
국립수산물품질관리원,129.0751178,35.07894605
국립수산물품질관리원,129.0747763,35.0788798
청학고개,129.0561923,35.09372784
세정고등학교,129.076401,35.174984
가야1치안센터,129.036825,35.15462167
미진마트,129.035565,35.15198667
청수탕,129.035095,35.169885
세정고등학교,129.0765461,35.17491825
부전역,129.0621467,35.162235
양정역6번출구,129.0730445,35.1737427
양정역4번출구,129.0723865,35.17324109
백조아파트,129.06983,35.17365333
백조아파트,129.0691017,35.17394167
양정대원칸타빌,129.067643,35.17066464
국제백양아파트,129.0277048,35.16839244
양정대원칸타빌,129.0671752,35.17144606
하마정,129.0673783,35.17428833
하마정,129.0661547,35.17503867
양정현대아파트,129.0652702,35.17457166
정묘사,129.061503,35.17448
정묘사,129.0617097,35.17420818
화인아파트,129.05919,35.17186
화인아파트,129.059415,35.17162543
부산시민공원,129.0563599,35.17111953
국립부산국악원,129.0548957,35.17164726
성의신용협동조합,129.0550306,35.17389898
성의신용협동조합,129.0549014,35.17328849
부산진고교,129.0536795,35.17832493
부산진고교,129.053886,35.17762441
초읍초등학교,129.0513468,35.18054595
초읍초등학교,129.05066,35.180677
어린이대공원입구,129.0471176,35.18113696
어린이대공원입구,129.0474781,35.18062814
삼광사입구,129.0480443,35.17769271
삼광사입구,129.048346,35.17726774
성곡시장입구,129.0487731,35.17500948
성곡시장,129.0490879,35.17388707
성곡시장,129.0491264,35.17454571
부산시설공단,129.049929,35.17163358
LG디스커버리랩,129.0501223,35.16962411
연지일동아파트,129.05219,35.1699
연지일동아파트,129.0523903,35.16960657
부암고가교,129.049845,35.16773
부암고가교,129.049855,35.16790333
동원아파트.협성휴포레,129.0481917,35.16642333
동원아파트,129.0483717,35.16638167
부암새고개,129.0457167,35.16596667
부암새고개,129.0452917,35.16594833
동의대학교입구.동의대역,129.031235,35.153645
시민도서관,129.0506159,35.18312604
당감시장,129.0412438,35.16604343
당감시장,129.0412903,35.16577535
네오스포,129.053985,35.15306558
협성피닉스,129.0386167,35.170065
협성피닉스,129.0387483,35.17007
부암3동주민센터,129.0395628,35.16866514
가야1치안센터,129.036697,35.154889
시민도서관,129.0511662,35.18304157
늘푸른교회,129.0364717,35.17008667
용사촌입구,129.0337403,35.17118529
용사촌입구,129.0335446,35.17103902
백양터널,129.024862,35.171365
당감백산아파트,129.0329367,35.16923833
가야전신전화국,129.0287717,35.15365993
당감백산아파트,129.032883,35.169252
당감동,129.03596,35.16856
부산진구생활문화센터,129.036835,35.167715
화승삼성아파트,129.0387451,35.16671402
화승삼성아파트,129.0389741,35.16697577
당감사거리,129.0396643,35.16567959
당감사거리,129.0399805,35.16548046
당감초등학교,129.039665,35.16341667
당감초등학교,129.0394095,35.16380923
태을의원,129.03863,35.16536333
당감4동,129.0378283,35.16532667
개성고등학교입구,129.0342167,35.16498
개성고등학교입구,129.0347633,35.16491833
백양로교회앞,129.0313683,35.16430333
백양로교회앞,129.0316494,35.16422074
개원초등학교,129.0288,35.16624833
국제프라자아파트,129.0275409,35.16763288
화인아파트,129.0288433,35.16543167
개금주공아파트,129.0305283,35.15900789
개포초등학교,129.0282943,35.15846038
한국신발관,129.0257475,35.15785478
개금3동주민센터,129.0229081,35.15607729
신개금엘지아파트,129.0194834,35.15486249
신개금엘지아파트,129.0191371,35.15449773
개금역.개금초등학교,129.020885,35.15424458
가야전신전화국,129.0292996,35.15375906
냉정고개,129.0154336,35.15176789
냉정고개,129.0173692,35.15184141
냉정고개,129.0178198,35.15214262
개금역,129.0201777,35.15223776
개금역,129.0204209,35.15175008
개금1치안센터,129.02111,35.15040167
개금1치안센터,129.0209783,35.15026333
백병원입구,129.0198773,35.14829828
주례여자고등학교,129.0164061,35.14782982
개금시장,129.0172633,35.14821333
백병원입구,129.0202257,35.14808221
벽산아파트,129.0234433,35.147705
벽산아파트,129.0235317,35.14778667
진성아파트,129.0265767,35.14869
진성아파트,129.0266333,35.14888833
가야공원입구,129.028865,35.14773667
가야공원입구,129.0291617,35.14768167
가야고교,129.0311967,35.14771167
가야고교,129.0310367,35.14772833
가야여중,129.03466,35.14788
가야여중,129.03455,35.147815
가남시장,129.0345067,35.14963167
미진마트,129.03572,35.15214
가야1치안센터,129.037125,35.15424333
가야1치안센터,129.0370683,35.15412833
가야전신전화국,129.0297583,35.15292667
가야전신전화국,129.0296583,35.152755
가야2동새마을금고,129.0294333,35.15105667
가야2동새마을금고,129.02918,35.15110167
골목시장,129.024965,35.15099167
골목시장,129.0243333,35.15106833
개금삼거리,129.025623,35.153019
개금삼거리,129.0249506,35.15345414
개금역.개금초등학교,129.0213317,35.15411755
개금3동주민센터,129.0232679,35.15587122
한국신발관,129.0253988,35.15728039
개포초등학교,129.0282092,35.15808618
개금주공아파트,129.0312163,35.15881712
개금주공아파트,129.0317517,35.159375
당평초등학교,129.0349275,35.15973685
당평초등학교,129.0362062,35.16081949
당감1치안센터,129.0427897,35.16202174
당감1치안센터,129.0438125,35.16264909
진양교차로,129.0466208,35.1623498
진양교차로,129.0481071,35.16254085
진양교차로,129.0484433,35.16201003
부암초등학교,129.0503032,35.16295831
부암초등학교,129.0500128,35.16355682
부암교차로,129.0501466,35.16681899
삼부아파트,129.0506055,35.16629156
부암교차로,129.051567,35.16698547
부암교차로,129.051511,35.16741262
부산진구청,129.0543837,35.1635423
